,Coordenadas_inicio,Coordenadas_fin,Minutos,Nombre_inicio,Nombre_fin
0,"[39.489232356680176, -0.39375485590156845]","[39.47212847821168, -0.34089962864679635]",18.26855855855856,"Carrer dels Amics del Corpus, Benicalap, València","Plaça del Pintor Anglada, Algirós, València"
1,"[39.5116651966455, -0.36935505878159325]","[39.41843415779571, -0.396395981613963]",44.92392792792789,"Carpesa, València","Calle del Almirante Císcar, Benetússer"
2,"[39.442403683018355, -0.3405876883531997]","[39.4635924977633, -0.35535996290783434]",12.099021021021024,"Carrera del Riu, Quatre Carreres, València","Eix Verdeguer-Balears, Camins al Grau, València"
3,"[39.47569115614584, -0.3395658500686526]","[39.4716276128746, -0.4222100449371348]",25.22106906906907,"Carrer del Clariano, Algirós, València","V-30, Mislata"
4,"[39.469784606924335, -0.3877803534861608]","[39.41319869934867, -0.3894439381251399]",23.29374174174175,"Carrer d'Àngel Guimerà, Extramurs, València",[Desconocido]
5,"[39.44840648593611, -0.33296270890976176]","[39.46474043088764, -0.3672408972884919]",13.22491291291291,"Carrer del Mossén Monzó, Poblats Marítims, València","Carrer de Borriana, l'Eixample, València"
6,"[39.498769162540796, -0.35135969415669066]","[39.47261012611743, -0.344415131477613]",20.34756456456457,"Calle de José de Ribera, Alboraia / Alboraya","Avinguda de Blasco Ibáñez, Algirós, València"
7,"[39.49583575589415, -0.37540112520459457]","[39.449034230639, -0.39621442366528986]",19.475153153153165,"Carrer de Sant Domènec Savio, Rascanya, València","Plaça de Sant Doménec de Guzmán, Jesús, València"
8,"[39.4413648349397, -0.3360594934887031]","[39.49669922620773, -0.40756115757205297]",36.423966966966994,"Natzaret, València","Ronda Nord, Pobles de l'Oest, València"
9,"[39.50023906107414, -0.42577566252392235]","[39.45407197908111, -0.39945553624288616]",22.25851651651653,"Carrer del Campament, Pobles de l'Oest, València","Avinguda de les Tres Creus, Patraix, València"
10,"[39.49531560872242, -0.39907818857588984]","[39.4637810620613, -0.36791778266380626]",16.038612612612614,"Carrer de les Alqueries de Bellver, Benicalap, València","Avinguda del Regne de València, l'Eixample, València"
11,"[39.48758876980248, -0.36681664777544915]","[39.46943053382229, -0.346173932147825]",10.433885885885884,"Carrer de Benicarló, Benimaclet, València","Carrer dels Sants Just i Pastor, Algirós, València"
12,"[39.41897240881172, -0.3849997025676582]","[39.482079814073614, -0.36620628472933353]",29.45393093093094,"Avenida de Pep de l'Horta, Alfafar","Carrer de Jaca, la Saïdia, València"
13,"[39.48187686796136, -0.4151192495237412]","[39.493310714525286, -0.3688898102279956]",22.25283783783784,"Camí de Favara, Mislata","Carrer del Duc de Mandas, Rascanya, València"
14,"[39.50957757788404, -0.4025704215664283]","[39.51050881336762, -0.4717915218093361]",27.73004204204204,"Camí del Molí de la Sal, Burjassot","V-30, Paterna"
15,"[39.50712083207473, -0.4475876209299422]","[39.51568065158551, -0.41614340246765863]",15.10987987987988,"Calle de Ciudad Real, Paterna","Avenida de Pi y Margall, Burjassot"
16,"[39.47679696739808, -0.3462473060000242]","[39.45420482476331, -0.3940216832851793]",17.551252252252254,"Carrer de Ramon Llull, Algirós, València","Avinguda de Gaspar Aguilar, Patraix, València"
17,"[39.46529575955172, -0.388996450886837]","[39.4859446978277, -0.35537456886463303]",14.247111111111114,"Avinguda de Pérez Galdós, Patraix, València","Carrer de la Murta, Benimaclet, València"
18,"[39.45364393439391, -0.3984761315992451]","[39.457258831001944, -0.35476986364851687]",13.597114114114111,"Carrer del Pintor Agrassot, Jesús, València","Pont de Montolivet, Quatre Carreres, València"
19,"[39.45947143873378, -0.35936413633492525]","[39.49222320915365, -0.3847201662920278]",16.347018018018023,"Carrer de Pere Aleixandre, Quatre Carreres, València","Carrer d'Alfara del Patriarca, Benicalap, València"
20,"[39.48518312135919, -0.3951761296009109]","[39.46423395909913, -0.36095004369679173]",14.43804204204204,"Avinguda de Pius XII, Benicalap, València","Avinguda de Jacinto Benavente, l'Eixample, València"
