Coordenadas_inicio,Coordenadas_fin
"[39.39688091713051, -0.39425381924746966]","[39.5081980308451, -0.46427825126969896]"
"[39.40218418240248, -0.4033568155122907]","[39.52635833538982, -0.3538849340178686]"
"[39.549037662824716, -0.398279770441734]","[39.437725010424856, -0.4660157434469571]"
"[39.40060972114896, -0.40053121246402557]","[39.51717786297128, -0.4711776890038121]"
"[39.52235648789686, -0.38440549492230086]","[39.39977048809533, -0.406575148478769]"
"[39.43466534382484, -0.47456925414463946]","[39.54684965838798, -0.3998484681596978]"
"[39.528546750309424, -0.3450633789999961]","[39.42751121743822, -0.46133462415012133]"
"[39.406139097460674, -0.41237320358561264]","[39.539975285636714, -0.3945827391891656]"
"[39.44563734109001, -0.3388391134912916]","[39.51989735880697, -0.4654503226142495]"
"[39.53257258877801, -0.3549837946988927]","[39.403017643132344, -0.4101991398770435]"
"[39.400824451271475, -0.3992380558771404]","[39.53104444351681, -0.35182588328801817]"
"[39.43389497872338, -0.4734428324019153]","[39.525634469751814, -0.3490310512201316]"
"[39.51756623945186, -0.4231186800069316]","[39.39547356708542, -0.39725117203010546]"
"[39.517453639874304, -0.46794131381637627]","[39.40107646279137, -0.4050829927637215]"
"[39.53267111859699, -0.3511355718691225]","[39.40236925267727, -0.40034025292489867]"
"[39.4277223929161, -0.4254056373799783]","[39.549037662824716, -0.398279770441734]"
"[39.460659557805805, -0.3306277425450348]","[39.517453639874304, -0.46794131381637627]"
"[39.415682649980624, -0.3890848270005051]","[39.53295693595691, -0.3486782038533845]"
"[39.535282813006056, -0.40115335114849376]","[39.40419064645798, -0.4072015680247323]"
"[39.51598682019848, -0.3598710683988606]","[39.434508224802144, -0.4752898986559559]"
"[39.52228216424578, -0.4173422827503762]","[39.39939736595497, -0.40080678481972004]"
"[39.53173174195556, -0.3459920120124874]","[39.40290943194442, -0.40502345615098523]"
"[39.54691400247709, -0.403706016128022]","[39.403151854540496, -0.404075420042824]"
"[39.39878589321014, -0.40068709614696385]","[39.532158904563715, -0.34030331428949606]"
"[39.534571174885485, -0.34954993391084216]","[39.42328576299594, -0.4281407497488284]"
"[39.52793324636352, -0.37872362629310763]","[39.4059887219061, -0.4060320725565165]"
"[39.54197749278253, -0.3962581615754833]","[39.433989278148275, -0.46997825813651894]"
"[39.55190649958408, -0.3979762473501503]","[39.428687841579034, -0.3932634002852098]"
"[39.548379467960906, -0.38883222920281074]","[39.422026654913594, -0.38983179628764053]"
"[39.525215324648656, -0.3526880017178849]","[39.434083775311215, -0.4648399792101332]"
"[39.54302027797666, -0.40524881241806215]","[39.420313678205176, -0.392976066121816]"
"[39.40471367773695, -0.4016108439984623]","[39.54913087557153, -0.3914815355177425]"
"[39.42781671864677, -0.4228500400722683]","[39.54913087557153, -0.3914815355177425]"
"[39.426696700463644, -0.47164677946987665]","[39.496866151180015, -0.34377509626806274]"
"[39.54557663512471, -0.3935812789452992]","[39.41819921016974, -0.3961731530098923]"
"[39.515912548940925, -0.46010044807124145]","[39.44217756160574, -0.32264748781482]"
"[39.52916511674777, -0.41713630937714263]","[39.402800912544706, -0.40299962284936386]"
"[39.54489063450191, -0.40125538670750127]","[39.405477835821145, -0.40485813981888097]"
"[39.4356126286363, -0.4694289654655505]","[39.525545643018106, -0.3515832747718882]"
"[39.43554138957863, -0.4657423065972868]","[39.52747233249378, -0.35287397190640074]"
"[39.543317314653116, -0.3969429496159682]","[39.432128555539634, -0.4697691327016652]"
"[39.54627492708467, -0.39346363455654965]","[39.43552688260674, -0.4643486981564347]"
"[39.52131325688905, -0.3893604969516283]","[39.398191736811214, -0.4167385510887538]"
"[39.53963356433503, -0.3399760922312]","[39.428390650756626, -0.4183006765128716]"
"[39.42781671864677, -0.4228500400722683]","[39.55099714553373, -0.39237705738338685]"
"[39.42813528184649, -0.4772670877640448]","[39.543667772454995, -0.38995003922675386]"
"[39.39753695230372, -0.39889817894891205]","[39.54877550393352, -0.39730087546064446]"
"[39.419617514439985, -0.39110443612780965]","[39.55196142426833, -0.3930455863699091]"
"[39.43466534382484, -0.47456925414463946]","[39.52686610631602, -0.3526669864614221]"
"[39.54910683111174, -0.39265537846292453]","[39.4198296908695, -0.3964856958161183]"
"[39.551063958023086, -0.3957120664116806]","[39.43178290390093, -0.4761134353912832]"
"[39.520294470590564, -0.3890250488223745]","[39.396500443920964, -0.4006288298772595]"
"[39.51493586092905, -0.4661140590464231]","[39.40471367773695, -0.4016108439984623]"
"[39.5407373898964, -0.39951442818194655]","[39.430471753760926, -0.47644624624889265]"
"[39.4043379881495, -0.4123345922313536]","[39.52724425873456, -0.3808076378845261]"
"[39.450372540620194, -0.33705199418494547]","[39.51953960310887, -0.4657029661399871]"
"[39.4247325382784, -0.42223923619887954]","[39.543167702825365, -0.3932065556140217]"
"[39.402800912544706, -0.40299962284936386]","[39.54824507404544, -0.3977003519844683]"
"[39.52324911888373, -0.4167772187659234]","[39.399885219072665, -0.39678627038024467]"
"[39.41667662033915, -0.3967576480048302]","[39.543167702825365, -0.3932065556140217]"
"[39.529852617137394, -0.3871732500754896]","[39.400824451271475, -0.3992380558771404]"
"[39.54773417454856, -0.39687111738527414]","[39.42532440841616, -0.4161737166452558]"
"[39.5238608136984, -0.382742121519541]","[39.40244959958471, -0.4119765346741123]"
"[39.543317314653116, -0.3969429496159682]","[39.42097066765097, -0.39147708900389117]"
"[39.42751121743822, -0.46133462415012133]","[39.525521909421634, -0.3523041025723314]"
"[39.46970816454249, -0.3292992207295563]","[39.43918632654782, -0.4791982228293939]"
"[39.54684965838798, -0.3998484681596978]","[39.401263634533315, -0.40272463590476726]"
"[39.543301213774214, -0.38911921590793797]","[39.436627572922134, -0.4674246988272207]"
"[39.42769118653595, -0.47025047285498384]","[39.541569892544636, -0.39512287977288574]"
"[39.44191301368272, -0.3315855316156055]","[39.51516242411747, -0.46463517498768275]"
"[39.39460500414015, -0.4054884815638184]","[39.513535584037285, -0.3618441766836388]"
"[39.51895144887498, -0.4639991635612528]","[39.462011378748294, -0.32696144317958686]"
"[39.44783641605351, -0.33537123359793675]","[39.5171287577463, -0.47313660803330215]"
"[39.52051298840666, -0.46308032982417113]","[39.407967671625975, -0.4010412793763549]"
"[39.45359267769057, -0.33385013805575686]","[39.51623829351042, -0.4703181862479195]"
"[39.39796428624887, -0.398125634665853]","[39.54495241593656, -0.399275569671597]"
"[39.533350136176765, -0.34241733858432877]","[39.42018061161157, -0.42813995906980445]"
"[39.525211032837035, -0.38831293888318913]","[39.40060972114896, -0.40053121246402557]"
"[39.51999596163875, -0.340187077127603]","[39.43449747007856, -0.46662186909892767]"
"[39.40414523841486, -0.39757358153734546]","[39.52970843576125, -0.34684085337276566]"
"[39.3979229690769, -0.40666353961869384]","[39.52635833538982, -0.3538849340178686]"
"[39.40248083315647, -0.3957414717917019]","[39.51895144887498, -0.4639991635612528]"
"[39.530534814431284, -0.34494688320029504]","[39.4340235455306, -0.46516576182591896]"
"[39.55746414566028, -0.40140952057024337]","[39.42481549988382, -0.4185919708883066]"
"[39.55196142426833, -0.3930455863699091]","[39.397606529485465, -0.3969846860744717]"
"[39.53681295082609, -0.34529173468790375]","[39.434508224802144, -0.4752898986559559]"
"[39.43692972222276, -0.46542535673212554]","[39.53090645507136, -0.35245559596912]"
"[39.53126677979134, -0.3530027136714497]","[39.39786918438939, -0.40394795125271277]"
"[39.52275073496924, -0.34301648375593125]","[39.400420466948844, -0.40232756927091806]"
"[39.49853229225541, -0.3462664137406453]","[39.430471753760926, -0.47644624624889265]"
"[39.45320210158415, -0.33212917254983504]","[39.51639048830434, -0.4654289552062113]"
"[39.43552688260674, -0.4643486981564347]","[39.53118287360636, -0.3485815360947845]"
"[39.53681295082609, -0.34529173468790375]","[39.40414523841486, -0.39757358153734546]"
"[39.520509048434334, -0.4622532063452486]","[39.39878589321014, -0.40068709614696385]"
"[39.51588169002356, -0.468672449139379]","[39.40040390171685, -0.4035653388540452]"
"[39.419617514439985, -0.39110443612780965]","[39.536800098935224, -0.3522692808404349]"
"[39.545011323443056, -0.38902930331019947]","[39.422364692855034, -0.40066498729239114]"
"[39.40662480948336, -0.40478644642003825]","[39.541569892544636, -0.39512287977288574]"
"[39.436627572922134, -0.4674246988272207]","[39.53267111859699, -0.3511355718691225]"
"[39.458948114444055, -0.33485070367083714]","[39.527408418748934, -0.4649085488318755]"
"[39.43410340333957, -0.478409289053137]","[39.499233888999306, -0.34792973150847856]"
"[39.529890290655416, -0.3446547085328336]","[39.41667662033915, -0.3967576480048302]"
"[39.51983660863516, -0.45852551597611896]","[39.39587589176299, -0.41192610391632256]"
"[39.41066146992267, -0.40187494802893925]","[39.52100162203842, -0.4675547098964698]"
"[39.54505955881226, -0.3981004197074211]","[39.39916220006564, -0.4029669334657253]"
"[39.548379467960906, -0.38883222920281074]","[39.41912462700105, -0.38417351005005124]"
"[39.51505863889013, -0.469698224605178]","[39.44635310175575, -0.3264821832692855]"
"[39.53147891115288, -0.3546070926893744]","[39.43476597832316, -0.46891196657964684]"
"[39.547446498321264, -0.39763071199641037]","[39.40290943194442, -0.40502345615098523]"
"[39.545011323443056, -0.38902930331019947]","[39.40817717743016, -0.39713857169555905]"
"[39.42556242231203, -0.40071173949105343]","[39.54773417454856, -0.39687111738527414]"
"[39.53394705998222, -0.3621741126395452]","[39.43409612164653, -0.4725844311631217]"
"[39.425065005276196, -0.3951314568085728]","[39.54641885846181, -0.3944601992732235]"
"[39.399444498956335, -0.39754856354449997]","[39.52305107793668, -0.416041898318022]"
"[39.54890043763588, -0.39820783897955153]","[39.42151267801266, -0.38623152166079006]"
"[39.399240740206544, -0.40122126517661105]","[39.529270342825825, -0.34289994210424035]"
"[39.52686610631602, -0.3526669864614221]","[39.43449747007856, -0.46662186909892767]"
"[39.43154086749556, -0.4769828439502539]","[39.51192990904663, -0.3480693254712211]"
"[39.39753001111223, -0.41027905816489396]","[39.5171287577463, -0.47313660803330215]"
"[39.44302961330309, -0.3339499540577517]","[39.52382540352109, -0.4672983347190616]"
"[39.52626862406036, -0.3938023964832484]","[39.40531638527994, -0.4019197013276876]"
"[39.39540660018187, -0.39392877421608014]","[39.51853175731094, -0.4582225083936207]"
"[39.413781138955684, -0.3911937504574964]","[39.54836237846892, -0.3946552084124562]"
"[39.44794937495931, -0.33721805815115763]","[39.5171287577463, -0.47313660803330215]"
"[39.39540660018187, -0.39392877421608014]","[39.51921046026779, -0.4217263061279859]"
"[39.53359386874004, -0.3824534533606579]","[39.399885219072665, -0.39678627038024467]"
"[39.43178290390093, -0.4761134353912832]","[39.49709233072837, -0.3459854484237419]"
"[39.39939736595497, -0.40080678481972004]","[39.54019014739548, -0.4004947834365392]"
"[39.39977048809533, -0.406575148478769]","[39.52029214128759, -0.418195976321516]"
"[39.52100162203842, -0.4675547098964698]","[39.45774971603481, -0.32987184619480897]"
"[39.54574467422274, -0.39461374413564443]","[39.40342526561843, -0.4036847422445982]"
"[39.404041046421774, -0.40787143755884325]","[39.52771265286643, -0.34241117898122914]"
"[39.421203604030794, -0.39646208787422227]","[39.545780131190234, -0.39695383774313814]"
"[39.44191301368272, -0.3315855316156055]","[39.52051298840666, -0.46308032982417113]"
"[39.4281204356786, -0.4663017039568031]","[39.521632392049405, -0.34564949125212785]"
"[39.40662480948336, -0.40478644642003825]","[39.52987195513995, -0.38020101480943747]"
"[39.54824507404544, -0.3977003519844683]","[39.405477835821145, -0.40485813981888097]"
"[39.39873938327394, -0.39462762485408726]","[39.520509048434334, -0.4622532063452486]"
"[39.53067741742397, -0.34602528893601137]","[39.423877671457795, -0.4228754158866002]"
"[39.39547356708542, -0.39725117203010546]","[39.522645383201144, -0.34955365273514655]"
"[39.52750186579703, -0.3479470090045223]","[39.399077744392315, -0.4072002565943866]"
"[39.51929376188356, -0.41712223109165186]","[39.398568676264254, -0.39914261408134194]"
"[39.420313678205176, -0.392976066121816]","[39.5418585059942, -0.3977141759375267]"
"[39.54641885846181, -0.3944601992732235]","[39.4247325382784, -0.42223923619887954]"
"[39.54259630618323, -0.3972424868265073]","[39.429364984248856, -0.4597052335695194]"
"[39.542748715204745, -0.3976740027806766]","[39.43389497872338, -0.4734428324019153]"
"[39.529270342825825, -0.34289994210424035]","[39.43498192268241, -0.4787377584840876]"
"[39.52907069435053, -0.3559209505868975]","[39.39916220006564, -0.4029669334657253]"
"[39.54001040389249, -0.3902841419994586]","[39.42685757225399, -0.4577033288941295]"
"[39.42542064219842, -0.42994578823825025]","[39.53295693595691, -0.3486782038533845]"
"[39.438823992079605, -0.46664416080685134]","[39.55099714553373, -0.39237705738338685]"
"[39.54569346910904, -0.39280514913393055]","[39.40662480948336, -0.40478644642003825]"
"[39.527213993659814, -0.4172712253386941]","[39.40718190607405, -0.4019132380903986]"
"[39.406360958551204, -0.4070618833126017]","[39.53067741742397, -0.34602528893601137]"
"[39.45159692666781, -0.3357932547651507]","[39.51623381638072, -0.4683140131289773]"
"[39.54595694083642, -0.39823353283450125]","[39.431618983838085, -0.46858519268496135]"
"[39.51831744876643, -0.44440462319287205]","[39.402657090313916, -0.391010232042067]"
"[39.52689965762625, -0.35130804165786145]","[39.43663708510587, -0.47425793922994597]"
"[39.5174146104565, -0.4708230854788548]","[39.45300151214677, -0.33072825507746795]"
"[39.53126677979134, -0.3530027136714497]","[39.42793921796137, -0.4719766063130607]"
"[39.546157148751874, -0.39278299045722537]","[39.4277223929161, -0.4254056373799783]"
"[39.51717786297128, -0.4711776890038121]","[39.460659557805805, -0.3306277425450348]"
"[39.551063958023086, -0.3957120664116806]","[39.418918805346394, -0.39365849843529055]"
"[39.53143258901457, -0.35471645745707586]","[39.43189307986651, -0.4683532399838482]"
"[39.419860335230055, -0.388130236481549]","[39.54836237846892, -0.3946552084124562]"
"[39.53147891115288, -0.3546070926893744]","[39.4282805367573, -0.4718480947944809]"
"[39.53118287360636, -0.3485815360947845]","[39.42911130318863, -0.4347895156151842]"
"[39.5266957894957, -0.37628000863500904]","[39.40320961206286, -0.39447511716937844]"
"[39.43498192268241, -0.4787377584840876]","[39.52879349965638, -0.37665423200011255]"
"[39.549346912339786, -0.39573031267186615]","[39.41879784614459, -0.39368127166650474]"
"[39.45000153465276, -0.3295264480900167]","[39.51193092551593, -0.46348885488073627]"
"[39.52056922979915, -0.46727801344150566]","[39.456684480316284, -0.33196124810021715]"
"[39.45049306125297, -0.33730812158959705]","[39.51505863889013, -0.469698224605178]"
"[39.51983660863516, -0.45852551597611896]","[39.397606529485465, -0.3969846860744717]"
"[39.51989735880697, -0.4654503226142495]","[39.44794937495931, -0.33721805815115763]"
"[39.53833178318189, -0.3853166812781537]","[39.426696700463644, -0.47164677946987665]"
"[39.54574467422274, -0.39461374413564443]","[39.42670802740566, -0.4194931650570817]"
"[39.51267889552536, -0.46918959057223575]","[39.402800912544706, -0.40299962284936386]"
"[39.40817717743016, -0.39713857169555905]","[39.53067741742397, -0.34602528893601137]"
"[39.41885284600347, -0.39569522495893356]","[39.54283349143927, -0.39901037868045125]"
"[39.524542795089424, -0.35086340752391315]","[39.39460500414015, -0.4054884815638184]"
"[39.40419064645798, -0.4072015680247323]","[39.54890043763588, -0.39820783897955153]"
"[39.51393202539066, -0.46484142291683395]","[39.448905414776405, -0.32943858750742927]"
"[39.52784406922854, -0.387465938210401]","[39.39587589176299, -0.41192610391632256]"
"[39.54257019661765, -0.3968386820809661]","[39.418112565832686, -0.3884036423783392]"
"[39.51821024288319, -0.40773659111748184]","[39.39547356708542, -0.39725117203010546]"
"[39.49871768084633, -0.34667006275322604]","[39.42922369923734, -0.47747221627742326]"
"[39.524328438533786, -0.4161769549825175]","[39.402657090313916, -0.391010232042067]"
"[39.411005335981336, -0.39751742268067375]","[39.51953960310887, -0.4657029661399871]"
"[39.52591129642573, -0.4621581271411613]","[39.402657090313916, -0.391010232042067]"
"[39.52056742342077, -0.38566019278292696]","[39.39986011794258, -0.3987493085356811]"
"[39.51481938841191, -0.4641684242480446]","[39.399240740206544, -0.40122126517661105]"
"[39.42685757225399, -0.4577033288941295]","[39.52370821213322, -0.3503093623379937]"
"[39.53090645507136, -0.35245559596912]","[39.413781138955684, -0.3911937504574964]"
"[39.52682931383347, -0.35080045668513304]","[39.40342526561843, -0.4036847422445982]"
"[39.39786918438939, -0.40394795125271277]","[39.533179468521745, -0.356714361630021]"
